date,E-Today(KWH),A0-Grid over voltage,A1-Grid under voltage,A2-Grid absent,A3-Grid over frequency,A4-Grid under frequency,A6-Grid abnormal
2025-02-18,27,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,30,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,25,0.0,4.0,4.0,4.0,4.0,0.0
2025-02-21,32,8.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,31,10.0,8.0,8.0,4.0,8.0,0.0
2025-02-23,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,31,2.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,4,0.0,2.0,2.0,2.0,2.0,0.0
2025-02-26,14,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,15,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,27,0.0,8.0,8.0,2.0,8.0,0.0
2025-03-01,49,6.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,50,6.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,10,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,57,0.0,4.0,0.0,0.0,0.0,0.0
2025-03-05,59,4.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,12,6.0,4.0,0.0,0.0,2.0,3.0
2025-03-07,1,1.0,3.0,2.0,0.0,3.0,6.0
2025-03-08,58,0.0,2.0,0.0,0.0,0.0,0.0
2025-03-09,36,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,11,0.0,2.0,2.0,2.0,2.0,0.0
2025-03-11,35,16.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,41,0.0,2.0,0.0,0.0,0.0,0.0
2025-03-14,33,2.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,41,4.0,0.0,0.0,0.0,0.0,0.0
2025-03-16,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,47,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,36,50.0,2.0,2.0,2.0,2.0,2.0
2025-03-20,55,2.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,45,2.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,51,0.0,2.0,0.0,0.0,0.0,0.0
2025-03-23,51,8.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,28,2.0,2.0,0.0,0.0,0.0,0.0
2025-03-25,25,2.0,8.0,22.0,4.0,8.0,0.0
2025-03-26,13,0.0,4.0,4.0,2.0,4.0,0.0
2025-03-27,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,49,8.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,55,4.0,2.0,2.0,2.0,2.0,0.0
2025-03-30,61,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,40,8.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,55,10.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,54,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,24,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,62,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-06,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,53,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,35,0.0,3.0,3.0,2.0,3.0,0.0
2025-04-09,32,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,44,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,56,0.0,2.0,2.0,0.0,2.0,0.0
2025-04-12,57,0.0,2.0,2.0,0.0,2.0,0.0
2025-04-13,54,0.0,2.0,0.0,0.0,0.0,0.0
2025-04-14,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,29,0.0,4.0,4.0,2.0,4.0,0.0
2025-04-17,47,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-18,31,0.0,2.0,2.0,2.0,2.0,0.0
2025-04-19,53,0.0,2.0,2.0,2.0,2.0,0.0
2025-04-20,57,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-21,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,55,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-23,53,0.0,2.0,2.0,0.0,2.0,0.0
2025-04-24,51,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,55,2.0,0.0,0.0,0.0,0.0,0.0
2025-04-26,57,0.0,2.0,2.0,2.0,2.0,0.0
2025-04-27,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-28,45,0.0,2.0,2.0,2.0,2.0,0.0
2025-04-29,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,44,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,37,4.0,2.0,2.0,0.0,2.0,0.0
2025-05-02,52,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03,18,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-04,20,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-05,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-06,48,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-07,47,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-08,34,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09,51,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-10,49,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-11,44,0.0,6.0,8.0,2.0,6.0,0.0
2025-05-12,28,10.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,42,8.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-15,56,2.0,0.0,0.0,0.0,0.0,0.0
2025-05-16,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17,57,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,40,0.0,1.0,1.0,0.0,1.0,0.0
2025-05-19,56,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-20,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,58,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-22,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23,48,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-24,35,4.0,2.0,2.0,4.0,2.0,0.0
2025-05-25,58,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-26,52,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-27,32,0.0,5.0,5.0,2.0,5.0,0.0
2025-05-28,49,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-29,46,0.0,2.0,2.0,0.0,2.0,0.0
2025-05-30,32,0.0,2.0,2.0,2.0,2.0,0.0
2025-05-31,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,62,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,56,0.0,2.0,2.0,2.0,2.0,0.0
2025-06-03,59,0.0,2.0,2.0,2.0,2.0,0.0
2025-06-04,56,2.0,0.0,0.0,0.0,0.0,0.0
2025-06-05,54,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-06,51,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07,40,1.0,3.0,3.0,0.0,3.0,0.0
2025-06-08,57,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-09,54,4.0,0.0,0.0,0.0,0.0,0.0
2025-06-10,57,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-11,56,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-12,53,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-13,52,0.0,6.0,6.0,4.0,6.0,0.0
2025-06-14,50,0.0,8.0,8.0,2.0,8.0,0.0
